                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.1663,                 1.5245,                 1.6166,                0.55237,                0.80825,                0.76338,                0.52295,                 1.2164,                 1.1887,                  2.045,             0.00098765,             0.00098765,             0.00098765
                     56,                 1.1706,                 1.5038,                 1.6219,                0.47753,                0.79076,                0.71844,                 0.5006,                 1.1549,                 1.2363,                 1.9125,              0.0009827,              0.0009827,              0.0009827
                     57,                 1.1118,                 1.4585,                  1.585,                0.64082,                 0.7978,                0.76202,                0.52507,                 1.1599,                 1.1493,                 1.9159,             0.00097775,             0.00097775,             0.00097775
                     58,                 1.1588,                 1.5034,                 1.6314,                0.58087,                0.74416,                0.72597,                0.48075,                 1.1736,                 1.1908,                 1.9572,              0.0009728,              0.0009728,              0.0009728
                     59,                 1.1547,                 1.5164,                 1.6247,                0.53588,                0.78175,                0.75041,                0.49066,                  1.393,                 1.2774,                 2.1564,             0.00096785,             0.00096785,             0.00096785
                     60,                 1.1646,                 1.4853,                 1.6102,                0.45304,                0.78102,                0.68839,                 0.4745,                 1.2344,                 1.3764,                 1.9827,              0.0009629,              0.0009629,              0.0009629
                     61,                 1.1505,                  1.432,                 1.5784,                0.79647,                0.66464,                0.81874,                0.53496,                 1.2839,                 1.1334,                 1.9895,             0.00095795,             0.00095795,             0.00095795
                     62,                 1.1311,                 1.4242,                 1.5855,                0.71766,                0.74281,                0.86264,                0.59562,                 1.1333,                 1.0535,                 1.8665,               0.000953,               0.000953,               0.000953
                     63,                 1.1214,                 1.4466,                 1.5745,                0.64919,                 0.7987,                0.83181,                0.59371,                 1.1131,                 1.0276,                 1.8776,             0.00094805,             0.00094805,             0.00094805
                     64,                 1.1088,                 1.4067,                 1.5743,                0.59927,                0.77489,                0.79886,                0.54832,                 1.1272,                 1.2295,                  1.895,              0.0009431,              0.0009431,              0.0009431
                     65,                 1.0493,                 1.3903,                 1.5344,                0.69857,                0.78725,                0.83427,                0.59342,                 1.0929,                  1.048,                 1.8344,             0.00093815,             0.00093815,             0.00093815
                     66,                 1.0899,                 1.3551,                 1.5602,                0.78468,                0.78685,                0.85763,                0.58249,                  1.146,                  1.069,                 1.8557,              0.0009332,              0.0009332,              0.0009332
                     67,                 1.0657,                 1.3783,                 1.5589,                0.54335,                0.84709,                0.83549,                0.54643,                 1.1942,                 1.1764,                 1.8927,             0.00092825,             0.00092825,             0.00092825
                     68,                 1.1076,                 1.4119,                 1.5779,                 0.5929,                0.88023,                0.87774,                0.60582,                 1.1936,                  1.169,                 1.9306,              0.0009233,              0.0009233,              0.0009233
                     69,                 1.0641,                 1.3126,                 1.5508,                0.69562,                0.75147,                 0.8547,                0.59455,                 1.2045,                 1.1366,                 1.9278,             0.00091835,             0.00091835,             0.00091835
                     70,                 1.1251,                 1.3533,                 1.5659,                 0.8226,                0.77409,                0.87477,                0.62789,                 1.0619,                 1.0122,                 1.8013,              0.0009134,              0.0009134,              0.0009134
                     71,                 1.0842,                 1.3324,                 1.5353,                0.77773,                0.81505,                0.88046,                0.61181,                 1.1217,                0.98019,                 1.8815,             0.00090845,             0.00090845,             0.00090845
                     72,                 1.0609,                 1.3162,                 1.5467,                0.65947,                0.89346,                 0.9242,                 0.6505,                 1.1108,                0.96043,                 1.8731,              0.0009035,              0.0009035,              0.0009035
                     73,                 1.0765,                 1.2429,                 1.5373,                0.70278,                0.85656,                0.91848,                0.67006,                 1.1121,                 1.0907,                 1.9598,             0.00089855,             0.00089855,             0.00089855
                     74,                 1.0953,                 1.3583,                 1.5799,                0.71275,                0.81907,                0.89939,                0.64149,                 1.0765,                 1.0607,                 1.8084,              0.0008936,              0.0008936,              0.0008936
                     75,                 1.0838,                 1.3496,                 1.5292,                0.77304,                0.72591,                0.88052,                0.63886,                 1.0094,                 1.0871,                 1.7331,             0.00088865,             0.00088865,             0.00088865
                     76,                 1.0452,                   1.29,                 1.5448,                0.87275,                 0.8211,                0.89436,                0.61372,                 1.2103,                0.98673,                 2.0558,              0.0008837,              0.0008837,              0.0008837
                     77,                 1.0682,                 1.2119,                 1.5224,                0.69678,                0.89976,                0.91714,                0.67647,                 1.0835,                 1.0736,                 1.8408,             0.00087875,             0.00087875,             0.00087875
                     78,                 1.0438,                 1.2424,                  1.515,                0.85567,                 0.8262,                0.93263,                0.66294,                 1.0586,                0.94926,                 1.7844,              0.0008738,              0.0008738,              0.0008738
                     79,                 1.0504,                 1.2504,                 1.5013,                0.81196,                0.85077,                0.92316,                0.68762,                  1.023,                0.94961,                 1.8137,             0.00086885,             0.00086885,             0.00086885
                     80,                 1.0485,                 1.2107,                 1.5214,                0.90638,                0.81017,                0.92569,                0.67326,                0.99141,                0.88192,                 1.6877,              0.0008639,              0.0008639,              0.0008639
                     81,                  1.021,                  1.214,                  1.489,                 0.7824,                0.88208,                0.91801,                0.68724,                 1.0367,                0.90326,                 1.7658,             0.00085895,             0.00085895,             0.00085895
